rowid,ID,Country,Type,Date,Year,Title,Outcome
300,Switzerland Proactive,Switzerland,Proactive,2003-01-10,2003,no state officials or state money in referendum campaigns,PostAdmissible
302,Switzerland Proactive,Switzerland,Proactive,2001-07-26,2001,guarantee access to postal services,PostAdmissible
303,Switzerland Proactive,Switzerland,Proactive,2001-03-15,2001,finance pensions through national bank earnings,PostAdmissible
305,Switzerland Proactive,Switzerland,Proactive,1999-06-24,1999,use gold reserves to finance pensions,PostAdmissible
306,Switzerland Proactive,Switzerland,Proactive,1999-05-07,1999,against abuse of asylum laws,PostAdmissible
307,Switzerland Proactive,Switzerland,Proactive,1998-10-11,1998,lifelong custody for sex offenders,PostAdmissible
308,Switzerland Proactive,Switzerland,Proactive,1998-08-21,1998,Join UN,PostAdmissible
309,Switzerland Proactive,Switzerland,Proactive,1998-07-10,1998,same rights for disabled people,PostAdmissible
310,Switzerland Proactive,Switzerland,Proactive,1998-05-15,1998,prohibit abortion,PostAdmissible
311,Switzerland Proactive,Switzerland,Proactive,1998-04-20,1998,tax on capital earnings,PostAdmissible
