rowid,ID,Country,Type,Date,Year,Title,Outcome
85,Switzerland Proactive,Switzerland,Proactive,2017-04-21,2017,prohibt nuclear power,FailedPostSignature
88,Switzerland Proactive,Switzerland,Proactive,2016-04-11,2016,change sanctions system regarding traffic code violations (to be more severe),FailedPostSignature
90,Switzerland Proactive,Switzerland,Proactive,2015-11-02,2015,"Grant all people access to means for a healthy lifestyle, have fitness programs etc. be covered by health insurance",FailedPostSignature
92,Switzerland Proactive,Switzerland,Proactive,2014-10-21,2014,deport men (regardless of nationality) if they commit a crime listed by the initiative. Swiss women may not be deported.,FailedPostSignature
93,Switzerland Proactive,Switzerland,Proactive,2014-04-24,2014,higher speedlimits on highways (of 140 km/h instead of 120 km/h),FailedPostSignature
94,Switzerland Proactive,Switzerland,Proactive,2014-04-08,2014,introduce liability for institutions prematurely releasing perpetrators of sexual- or violent crimes who then relapse,FailedPostSignature
95,Switzerland Proactive,Switzerland,Proactive,2014-04-08,2014,start a sex- and violent crime offender registry in Switzerland,FailedPostSignature
97,Switzerland Proactive,Switzerland,Proactive,2013-09-25,2013,abolish national fees for tv- and radioprogamming,FailedPostSignature
99,Switzerland Proactive,Switzerland,Proactive,2013-03-24,2013,increase speed limits on different types of streets,FailedPostSignature
100,Switzerland Proactive,Switzerland,Proactive,2013-03-24,2013,all income from automobile traffic related taxes should finance automobile traffic projects,FailedPostSignature
101,Switzerland Proactive,Switzerland,Proactive,2013-03-24,2013,expend streets to manage a higher traffic load. three highway passes in particular,FailedPostSignature
102,Switzerland Proactive,Switzerland,Proactive,2013-02-28,2013,more education places for medicine students (to prevent a shortage of medical personel),FailedPostSignature
103,Switzerland Proactive,Switzerland,Proactive,2013-01-31,2013,Add the protection of human life to article 7 of the swiss constitution,FailedPostSignature
105,Switzerland Proactive,Switzerland,Proactive,2012-07-16,2012,"finance healthcare by taxing non-renewable energy, drugs, sugar and fat",FailedPostSignature
107,Switzerland Proactive,Switzerland,Proactive,2012-05-15,2012,"protect big predators (bear, wolf, lynx)",FailedPostSignature
108,Switzerland Proactive,Switzerland,Proactive,2012-05-15,2012,protection from passive smoking,FailedPostSignature
109,Switzerland Proactive,Switzerland,Proactive,2012-03-23,2012,no sex-ed for children under 12 (especially not about anything certain conservatives would not like their children to know about),FailedPostSignature
110,Switzerland Proactive,Switzerland,Proactive,2011-12-27,2011,promote fluid traffic and motorized bicycles,FailedPostSignature
111,Switzerland Proactive,Switzerland,Proactive,2011-12-23,2011,introduce measures so a citizen can check their vote after elections and votes,FailedPostSignature
112,Switzerland Proactive,Switzerland,Proactive,2011-11-04,2011,introduce set sum of tax relief per time a citizen votes,FailedPostSignature
113,Switzerland Proactive,Switzerland,Proactive,2011-10-04,2011,protectionary economy measures,FailedPostSignature
114,Switzerland Proactive,Switzerland,Proactive,2011-09-12,2011,"bears, wolves and lynx are highly protected",FailedPostSignature
115,Switzerland Proactive,Switzerland,Proactive,2011-08-17,2011,establish neutrality in constitution,FailedPostSignature
116,Switzerland Proactive,Switzerland,Proactive,2011-06-29,2011,prevent overpopulation,FailedPostSignature
117,Switzerland Proactive,Switzerland,Proactive,2011-06-21,2011,turn off nuclear power plants,FailedPostSignature
118,Switzerland Proactive,Switzerland,Proactive,2011-06-21,2011,no fees on recieving federeal radio or television,FailedPostSignature
119,Switzerland Proactive,Switzerland,Proactive,2011-05-18,2011,have politicians declare their ties of interest,FailedPostSignature
120,Switzerland Proactive,Switzerland,Proactive,2010-12-03,2010,more orientation towards the needs of the insured for obligatory insurances,FailedPostSignature
121,Switzerland Proactive,Switzerland,Proactive,2010-12-03,2010,federal council decides military action,FailedPostSignature
122,Switzerland Proactive,Switzerland,Proactive,2010-12-03,2010,change regulation for national bank,FailedPostSignature
123,Switzerland Proactive,Switzerland,Proactive,2010-10-15,2010,no joining EU for ten years,FailedPostSignature
124,Switzerland Proactive,Switzerland,Proactive,2010-09-16,2010,limit burocracy for the sake of small- to medium business,FailedPostSignature
125,Switzerland Proactive,Switzerland,Proactive,2010-08-30,2010,prevent mixing obligatory and optional healthcare policies,FailedPostSignature
126,Switzerland Proactive,Switzerland,Proactive,2010-08-04,2010,death penalty for murders including sexual violence,FailedPostSignature
127,Switzerland Proactive,Switzerland,Proactive,2010-04-23,2010,introduce all 30 articles of UN convention on Human Rights to swiss constitution,FailedPostSignature
128,Switzerland Proactive,Switzerland,Proactive,2010-04-22,2010,introduce basic income financed by energy use tax,FailedPostSignature
131,Switzerland Proactive,Switzerland,Proactive,2010-01-25,2010,allow smoking in (public) indoor spaces,FailedPostSignature
133,Switzerland Proactive,Switzerland,Proactive,2009-05-08,2009,invest additional 68 mio. in social security programs,FailedPostSignature
134,Switzerland Proactive,Switzerland,Proactive,2009-03-06,2009,enshrine banking secrecy in constitution,FailedPostSignature
136,Switzerland Proactive,Switzerland,Proactive,2007-07-23,2007,prohibit all legal limits to free speech (mostly aimed at the anti-racial-discrimination law),FailedPostSignature
140,Switzerland Proactive,Switzerland,Proactive,2006-11-16,2006,limit maximal tax on tabacco products and use the income for prevention campaigns,FailedPostSignature
142,Switzerland Proactive,Switzerland,Proactive,2006-02-22,2006,make high income families pay a solidarity tax,FailedPostSignature
143,Switzerland Proactive,Switzerland,Proactive,2005-12-23,2005,tax non-renewable energy instead of income,FailedPostSignature
144,Switzerland Proactive,Switzerland,Proactive,2005-12-15,2005,changes to financing of health care,FailedPostSignature
146,Switzerland Proactive,Switzerland,Proactive,2004-06-24,2004,prohibit hunting and hobbyist fishing,FailedPostSignature
148,Switzerland Proactive,Switzerland,Proactive,2004-04-02,2004,reduce legal barriers to vitamins,FailedPostSignature
149,Switzerland Proactive,Switzerland,Proactive,2003-09-16,2003,prohibit import of fur products,FailedPostSignature
150,Switzerland Proactive,Switzerland,Proactive,2003-09-05,2003,mulitple measures to support families,FailedPostSignature
151,Switzerland Proactive,Switzerland,Proactive,2003-07-07,2003,regulation on criminal prosecution of war criminals,FailedPostSignature
152,Switzerland Proactive,Switzerland,Proactive,2003-02-12,2003,Limit immigration,FailedPostSignature
153,Switzerland Proactive,Switzerland,Proactive,2002-08-15,2002,abolish obligatory health insurance,FailedPostSignature
